date,daily_cases,total_cases,daily_recovered,total_recovered,daily_death,total_death,active_cases,total_tests,new_tests
30-01-2020,1,1,0,0,0,0,1,,
31-01-2020,0,1,0,0,0,0,1,,
01-02-2020,0,1,0,0,0,0,1,,
02-02-2020,1,2,0,0,0,0,2,,
03-02-2020,1,3,0,0,0,0,3,,
04-02-2020,0,3,0,0,0,0,3,,
05-02-2020,0,3,0,0,0,0,3,,
06-02-2020,0,3,0,0,0,0,3,,
07-02-2020,0,3,0,0,0,0,3,,
08-02-2020,0,3,0,0,0,0,3,,
09-02-2020,0,3,0,0,0,0,3,,
10-02-2020,0,3,0,0,0,0,3,,
11-02-2020,0,3,0,0,0,0,3,,
12-02-2020,0,3,0,0,0,0,3,,
13-02-2020,0,3,1,1,0,0,2,,
14-02-2020,0,3,0,1,0,0,2,,
15-02-2020,0,3,0,1,0,0,2,,
16-02-2020,0,3,1,2,0,0,1,,
17-02-2020,0,3,0,2,0,0,1,,
18-02-2020,0,3,0,2,0,0,1,,
19-02-2020,0,3,0,2,0,0,1,,
20-02-2020,0,3,1,3,0,0,0,,
21-02-2020,0,3,0,3,0,0,0,,
22-02-2020,0,3,0,3,0,0,0,,
23-02-2020,0,3,0,3,0,0,0,,
24-02-2020,0,3,0,3,0,0,0,,
25-02-2020,0,3,0,3,0,0,0,,
26-02-2020,0,3,0,3,0,0,0,,
27-02-2020,0,3,0,3,0,0,0,,
28-02-2020,0,3,0,3,0,0,0,,
29-02-2020,0,3,0,3,0,0,0,,
01-03-2020,0,3,0,3,0,0,0,,
02-03-2020,2,5,0,3,0,0,2,,
03-03-2020,1,6,0,3,0,0,3,,
04-03-2020,22,28,0,3,0,0,25,,
05-03-2020,2,30,0,3,0,0,27,,
06-03-2020,1,31,0,3,0,0,28,,
07-03-2020,3,34,0,3,0,0,31,,
08-03-2020,5,39,0,3,0,0,36,,
09-03-2020,9,48,0,3,0,0,45,,
10-03-2020,15,63,1,4,0,0,59,,
11-03-2020,8,71,0,4,0,0,67,,
12-03-2020,10,81,0,4,1,1,76,6500,
13-03-2020,10,91,6,10,0,1,80,,
14-03-2020,11,102,0,10,1,2,90,,
15-03-2020,10,112,3,13,0,2,97,,
16-03-2020,14,126,1,14,0,2,110,,
17-03-2020,20,146,1,15,1,3,128,13125,
18-03-2020,25,171,0,15,0,3,153,13316,191
19-03-2020,27,198,5,20,1,4,174,14376,1060
20-03-2020,58,256,3,23,0,4,229,15701,1325
21-03-2020,78,334,0,23,0,4,307,16999,1298
22-03-2020,69,403,0,23,3,7,373,20707,3708
23-03-2020,94,497,2,25,2,9,463,20864,157
24-03-2020,74,571,15,40,1,10,521,25144,4280
25-03-2020,86,657,3,43,1,11,603,,
26-03-2020,73,730,7,50,5,16,664,27688,
27-03-2020,153,883,25,75,3,19,789,,
28-03-2020,136,1019,10,85,5,24,910,,
29-03-2020,120,1139,17,102,3,27,1010,,
30-03-2020,187,1326,35,137,14,41,1148,,
31-03-2020,309,1635,13,150,6,47,1438,,
01-04-2020,424,2059,19,169,6,53,1837,47951,
02-04-2020,486,2545,22,191,16,69,2285,69245,21294
03-04-2020,560,3105,39,230,14,83,2792,79950,10705
04-04-2020,579,3684,56,286,13,96,3302,89534,9584
05-04-2020,609,4293,43,329,22,118,3846,101068,11534
06-04-2020,484,4777,65,394,16,134,4249,114015,12947
07-04-2020,573,5350,75,469,27,161,4720,127919,13904
08-04-2020,565,5915,96,565,20,181,5169,144910,16991
09-04-2020,813,6728,70,635,46,227,5866,161330,16420
10-04-2020,871,7599,151,786,22,249,6564,179374,18044
11-04-2020,854,8453,186,972,41,290,7191,195748,16374
12-04-2020,758,9211,114,1086,42,332,7793,217554,21806
13-04-2020,1243,10454,112,1198,27,359,8897,244893,27339
14-04-2020,1031,11485,167,1365,37,396,9724,274599,29706
15-04-2020,886,12371,144,1509,27,423,10439,302956,28357
16-04-2020,1061,13432,258,1767,26,449,11216,335123,32167
17-04-2020,922,14354,273,2040,38,487,11827,372123,37000
18-04-2020,1371,15725,426,2466,35,522,12737,401586,29463
19-04-2020,1580,17305,388,2854,38,560,13891,,
20-04-2020,1239,18544,419,3273,33,593,14678,462621,
21-04-2020,1537,20081,703,3976,53,646,15459,,
22-04-2020,1292,21373,394,4370,36,682,16321,500542,
23-04-2020,1667,23040,642,5012,40,722,17306,541789,41247
24-04-2020,1408,24448,484,5496,59,781,18171,579957,38168
25-04-2020,1835,26283,442,5938,44,825,19520,625309,45352
26-04-2020,1607,27890,585,6523,56,881,20486,665819,40510
27-04-2020,1568,29458,580,7103,58,939,21416,716733,50914
28-04-2020,1902,31360,636,7739,69,1008,22613,770764,54031
29-04-2020,1705,33065,690,8429,71,1079,23557,830201,59437
30-04-2020,1801,34866,630,9059,75,1154,24653,902654,72453
01-05-2020,2396,37262,962,10021,77,1231,26010,976363,73709
02-05-2020,2564,39826,831,10852,92,1323,27651,1046450,70087
03-05-2020,2952,42778,911,11763,140,1463,29552,1107233,60783
04-05-2020,3656,46434,1082,12845,103,1566,32023,1191946,84713
05-05-2020,2971,49405,1295,14140,128,1694,33571,1276781,84835
06-05-2020,3602,53007,1161,15301,91,1785,35921,1357413,80632
07-05-2020,3344,56351,1475,16776,104,1889,37686,1437788,80375
08-05-2020,3339,59690,1111,17887,97,1986,39817,1523213,85425
